"Población de 10 y más años de la C.A. de Euskadi por comarca, nivel de instrucción, sexo y periodo"

"comarca";"nivel de instrucción";"sexo";"periodo";Población de 10 y más años de la C.A. de Euskadi
"C.A. de Euskadi";"Analfabetos";"Hombres";"2010";3274
"C.A. de Euskadi";"Analfabetos";"Hombres";"2013";2689
"C.A. de Euskadi";"Analfabetos";"Hombres";"2014";2516
"C.A. de Euskadi";"Analfabetos";"Hombres";"2015";2430
"C.A. de Euskadi";"Analfabetos";"Hombres";"2016";2273
"C.A. de Euskadi";"Analfabetos";"Hombres";"2018";2024
"C.A. de Euskadi";"Analfabetos";"Hombres";"2019";1916
"C.A. de Euskadi";"Analfabetos";"Hombres";"2020";1805
"C.A. de Euskadi";"Analfabetos";"Mujeres";"2010";7364
"C.A. de Euskadi";"Analfabetos";"Mujeres";"2013";6139
"C.A. de Euskadi";"Analfabetos";"Mujeres";"2014";5808
"C.A. de Euskadi";"Analfabetos";"Mujeres";"2015";5513
"C.A. de Euskadi";"Analfabetos";"Mujeres";"2016";5175
"C.A. de Euskadi";"Analfabetos";"Mujeres";"2018";4563
"C.A. de Euskadi";"Analfabetos";"Mujeres";"2019";4278
"C.A. de Euskadi";"Analfabetos";"Mujeres";"2020";4015
"C.A. de Euskadi";"Sin estudios";"Hombres";"2010";22447
"C.A. de Euskadi";"Sin estudios";"Hombres";"2013";19442
"C.A. de Euskadi";"Sin estudios";"Hombres";"2014";18449
"C.A. de Euskadi";"Sin estudios";"Hombres";"2015";17853
"C.A. de Euskadi";"Sin estudios";"Hombres";"2016";16822
"C.A. de Euskadi";"Sin estudios";"Hombres";"2018";17049
"C.A. de Euskadi";"Sin estudios";"Hombres";"2019";16275
"C.A. de Euskadi";"Sin estudios";"Hombres";"2020";16152
"C.A. de Euskadi";"Sin estudios";"Mujeres";"2010";34300
"C.A. de Euskadi";"Sin estudios";"Mujeres";"2013";30105
"C.A. de Euskadi";"Sin estudios";"Mujeres";"2014";28796
"C.A. de Euskadi";"Sin estudios";"Mujeres";"2015";27856
"C.A. de Euskadi";"Sin estudios";"Mujeres";"2016";26596
"C.A. de Euskadi";"Sin estudios";"Mujeres";"2018";25912
"C.A. de Euskadi";"Sin estudios";"Mujeres";"2019";24986
"C.A. de Euskadi";"Sin estudios";"Mujeres";"2020";24398
"C.A. de Euskadi";"Primarios";"Hombres";"2010";327711
"C.A. de Euskadi";"Primarios";"Hombres";"2013";311456
"C.A. de Euskadi";"Primarios";"Hombres";"2014";305464
"C.A. de Euskadi";"Primarios";"Hombres";"2015";301077
"C.A. de Euskadi";"Primarios";"Hombres";"2016";296691
"C.A. de Euskadi";"Primarios";"Hombres";"2018";283776
"C.A. de Euskadi";"Primarios";"Hombres";"2019";274625
"C.A. de Euskadi";"Primarios";"Hombres";"2020";272417
"C.A. de Euskadi";"Primarios";"Mujeres";"2010";387914
"C.A. de Euskadi";"Primarios";"Mujeres";"2013";373110
"C.A. de Euskadi";"Primarios";"Mujeres";"2014";368183
"C.A. de Euskadi";"Primarios";"Mujeres";"2015";363680
"C.A. de Euskadi";"Primarios";"Mujeres";"2016";358046
"C.A. de Euskadi";"Primarios";"Mujeres";"2018";344745
"C.A. de Euskadi";"Primarios";"Mujeres";"2019";334826
"C.A. de Euskadi";"Primarios";"Mujeres";"2020";330365
"C.A. de Euskadi";"Profesionales";"Hombres";"2010";177863
"C.A. de Euskadi";"Profesionales";"Hombres";"2013";196494
"C.A. de Euskadi";"Profesionales";"Hombres";"2014";199939
"C.A. de Euskadi";"Profesionales";"Hombres";"2015";202159
"C.A. de Euskadi";"Profesionales";"Hombres";"2016";205827
"C.A. de Euskadi";"Profesionales";"Hombres";"2018";211960
"C.A. de Euskadi";"Profesionales";"Hombres";"2019";225166
"C.A. de Euskadi";"Profesionales";"Hombres";"2020";233184
"C.A. de Euskadi";"Profesionales";"Mujeres";"2010";123044
"C.A. de Euskadi";"Profesionales";"Mujeres";"2013";134775
"C.A. de Euskadi";"Profesionales";"Mujeres";"2014";137086
"C.A. de Euskadi";"Profesionales";"Mujeres";"2015";139226
"C.A. de Euskadi";"Profesionales";"Mujeres";"2016";141135
"C.A. de Euskadi";"Profesionales";"Mujeres";"2018";146334
"C.A. de Euskadi";"Profesionales";"Mujeres";"2019";156781
"C.A. de Euskadi";"Profesionales";"Mujeres";"2020";162943
"C.A. de Euskadi";"Secundarios";"Hombres";"2010";218674
"C.A. de Euskadi";"Secundarios";"Hombres";"2013";213597
"C.A. de Euskadi";"Secundarios";"Hombres";"2014";210811
"C.A. de Euskadi";"Secundarios";"Hombres";"2015";213951
"C.A. de Euskadi";"Secundarios";"Hombres";"2016";212580
"C.A. de Euskadi";"Secundarios";"Hombres";"2018";217257
"C.A. de Euskadi";"Secundarios";"Hombres";"2019";217123
"C.A. de Euskadi";"Secundarios";"Hombres";"2020";215260
"C.A. de Euskadi";"Secundarios";"Mujeres";"2010";207261
"C.A. de Euskadi";"Secundarios";"Mujeres";"2013";209909
"C.A. de Euskadi";"Secundarios";"Mujeres";"2014";208200
"C.A. de Euskadi";"Secundarios";"Mujeres";"2015";211685
"C.A. de Euskadi";"Secundarios";"Mujeres";"2016";211225
"C.A. de Euskadi";"Secundarios";"Mujeres";"2018";216690
"C.A. de Euskadi";"Secundarios";"Mujeres";"2019";217485
"C.A. de Euskadi";"Secundarios";"Mujeres";"2020";217435
"C.A. de Euskadi";"Medio-superiores";"Hombres";"2010";67565
"C.A. de Euskadi";"Medio-superiores";"Hombres";"2013";59640
"C.A. de Euskadi";"Medio-superiores";"Hombres";"2014";58163
"C.A. de Euskadi";"Medio-superiores";"Hombres";"2015";56754
"C.A. de Euskadi";"Medio-superiores";"Hombres";"2016";57351
"C.A. de Euskadi";"Medio-superiores";"Hombres";"2018";55850
"C.A. de Euskadi";"Medio-superiores";"Hombres";"2019";54619
"C.A. de Euskadi";"Medio-superiores";"Hombres";"2020";52300
"C.A. de Euskadi";"Medio-superiores";"Mujeres";"2010";100839
"C.A. de Euskadi";"Medio-superiores";"Mujeres";"2013";94340
"C.A. de Euskadi";"Medio-superiores";"Mujeres";"2014";93163
"C.A. de Euskadi";"Medio-superiores";"Mujeres";"2015";91459
"C.A. de Euskadi";"Medio-superiores";"Mujeres";"2016";93328
"C.A. de Euskadi";"Medio-superiores";"Mujeres";"2018";91349
"C.A. de Euskadi";"Medio-superiores";"Mujeres";"2019";88441
"C.A. de Euskadi";"Medio-superiores";"Mujeres";"2020";85287
"C.A. de Euskadi";"Superiores";"Hombres";"2010";138870
"C.A. de Euskadi";"Superiores";"Hombres";"2013";151401
"C.A. de Euskadi";"Superiores";"Hombres";"2014";155688
"C.A. de Euskadi";"Superiores";"Hombres";"2015";156686
"C.A. de Euskadi";"Superiores";"Hombres";"2016";158616
"C.A. de Euskadi";"Superiores";"Hombres";"2018";167388
"C.A. de Euskadi";"Superiores";"Hombres";"2019";171808
"C.A. de Euskadi";"Superiores";"Hombres";"2020";178516
"C.A. de Euskadi";"Superiores";"Mujeres";"2010";150921
"C.A. de Euskadi";"Superiores";"Mujeres";"2013";166965
"C.A. de Euskadi";"Superiores";"Mujeres";"2014";173060
"C.A. de Euskadi";"Superiores";"Mujeres";"2015";176047
"C.A. de Euskadi";"Superiores";"Mujeres";"2016";180992
"C.A. de Euskadi";"Superiores";"Mujeres";"2018";195320
"C.A. de Euskadi";"Superiores";"Mujeres";"2019";204265
"C.A. de Euskadi";"Superiores";"Mujeres";"2020";214967
"Añana";"Analfabetos";"Hombres";"2010";7
"Añana";"Analfabetos";"Hombres";"2013";7
"Añana";"Analfabetos";"Hombres";"2014";7
"Añana";"Analfabetos";"Hombres";"2015";6
"Añana";"Analfabetos";"Hombres";"2016";7
"Añana";"Analfabetos";"Hombres";"2018";4
"Añana";"Analfabetos";"Hombres";"2019";3
"Añana";"Analfabetos";"Hombres";"2020";5
"Añana";"Analfabetos";"Mujeres";"2010";9
"Añana";"Analfabetos";"Mujeres";"2013";7
"Añana";"Analfabetos";"Mujeres";"2014";6
"Añana";"Analfabetos";"Mujeres";"2015";4
"Añana";"Analfabetos";"Mujeres";"2016";4
"Añana";"Analfabetos";"Mujeres";"2018";2
"Añana";"Analfabetos";"Mujeres";"2019";2
"Añana";"Analfabetos";"Mujeres";"2020";3
"Añana";"Sin estudios";"Hombres";"2010";46
"Añana";"Sin estudios";"Hombres";"2013";47
"Añana";"Sin estudios";"Hombres";"2014";41
"Añana";"Sin estudios";"Hombres";"2015";37
"Añana";"Sin estudios";"Hombres";"2016";32
"Añana";"Sin estudios";"Hombres";"2018";31
