"Población de 16 y más años ocupada de la C.A. de Euskadi por ámbitos territoriales, rama de actividad y periodo"

"ámbitos territoriales";"rama de actividad";"periodo";Población de 16 y más años ocupada de la C.A. de Euskadi
"C.A. de Euskadi";"Total";"1996";689100
"C.A. de Euskadi";"Total";"2001";862407
"C.A. de Euskadi";"Total";"2006";954033
"C.A. de Euskadi";"Total";"2011";897767
"C.A. de Euskadi";"Total";"2016";906668
"C.A. de Euskadi";"Agricultura, ganadería, caza, silvicultura";"1996";10294
"C.A. de Euskadi";"Agricultura, ganadería, caza, silvicultura";"2001";10472
"C.A. de Euskadi";"Agricultura, ganadería, caza, silvicultura";"2006";7069
"C.A. de Euskadi";"Agricultura, ganadería, caza, silvicultura";"2011";7603
"C.A. de Euskadi";"Agricultura, ganadería, caza, silvicultura";"2016";8124
"C.A. de Euskadi";"Pesca, acuicultura";"1996";6018
"C.A. de Euskadi";"Pesca, acuicultura";"2001";4847
"C.A. de Euskadi";"Pesca, acuicultura";"2006";2956
"C.A. de Euskadi";"Pesca, acuicultura";"2011";1608
"C.A. de Euskadi";"Pesca, acuicultura";"2016";1570
"C.A. de Euskadi";"Industrias extractivas";"1996";987
"C.A. de Euskadi";"Industrias extractivas";"2001";837
"C.A. de Euskadi";"Industrias extractivas";"2006";811
"C.A. de Euskadi";"Industrias extractivas";"2011";551
"C.A. de Euskadi";"Industrias extractivas";"2016";434
"C.A. de Euskadi";"Industria manufacturera";"1996";212646
"C.A. de Euskadi";"Industria manufacturera";"2001";229581
"C.A. de Euskadi";"Industria manufacturera";"2006";222806
"C.A. de Euskadi";"Industria manufacturera";"2011";170457
"C.A. de Euskadi";"Industria manufacturera";"2016";167795
"C.A. de Euskadi";"Producción y distribución de energía electrica, gas y agua";"1996";8692
"C.A. de Euskadi";"Producción y distribución de energía electrica, gas y agua";"2001";6559
"C.A. de Euskadi";"Producción y distribución de energía electrica, gas y agua";"2006";4391
"C.A. de Euskadi";"Producción y distribución de energía electrica, gas y agua";"2011";7366
"C.A. de Euskadi";"Producción y distribución de energía electrica, gas y agua";"2016";8046
"C.A. de Euskadi";"Construcción";"1996";44525
"C.A. de Euskadi";"Construcción";"2001";74732
"C.A. de Euskadi";"Construcción";"2006";88741
"C.A. de Euskadi";"Construcción";"2011";66829
"C.A. de Euskadi";"Construcción";"2016";50763
"C.A. de Euskadi";"Comercio y reparación";"1996";88054
"C.A. de Euskadi";"Comercio y reparación";"2001";121168
"C.A. de Euskadi";"Comercio y reparación";"2006";146773
"C.A. de Euskadi";"Comercio y reparación";"2011";139126
"C.A. de Euskadi";"Comercio y reparación";"2016";132018
"C.A. de Euskadi";"Hostelería";"1996";32556
