Producto interior bruto (PIB) de la C.A. de Euskadi por ámbitos territoriales, tipo de medida y periodo;;;
;;;
ámbitos territoriales;tipo de medida;periodo;Producto interior bruto (PIB) de la C.A. de Euskadi
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);1996;14784
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);2000;20226
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);2005;27363
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);2008;31816
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);2010;30655
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);2012;30163
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);2014;30546
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);2015;31528
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);2016;32771
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);2017;33835
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);2018;35201
C.A. de Euskadi;PIB per cápita. Precios corrientes (euros);2019;36254
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);1996;100
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);2000;100
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);2005;100
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);2008;100
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);2010;100
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);2012;100
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);2014;100
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);2015;100
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);2016;100
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);2017;100
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);2018;100
C.A. de Euskadi;PIB per cápita. Índice (CAE=100);2019;100
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);1996;30986871
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);2000;42053672
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);2005;57733014
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);2008;68575133
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);2010;66569372
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);2012;65763202
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);2014;66378235
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);2015;68496577
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);2016;71239291
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);2017;73697375
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);2018;76888235
C.A. de Euskadi;PIB. Precios corrientes (miles de euros);2019;79537107
Araba/Álava;PIB per cápita. Precios corrientes (euros);1996;17854
Araba/Álava;PIB per cápita. Precios corrientes (euros);2000;24811
Araba/Álava;PIB per cápita. Precios corrientes (euros);2005;32566
Araba/Álava;PIB per cápita. Precios corrientes (euros);2008;36647
Araba/Álava;PIB per cápita. Precios corrientes (euros);2010;33091
Araba/Álava;PIB per cápita. Precios corrientes (euros);2012;33307
Araba/Álava;PIB per cápita. Precios corrientes (euros);2014;33708
Araba/Álava;PIB per cápita. Precios corrientes (euros);2015;34754
Araba/Álava;PIB per cápita. Precios corrientes (euros);2016;35850
Araba/Álava;PIB per cápita. Precios corrientes (euros);2017;36617
Araba/Álava;PIB per cápita. Precios corrientes (euros);2018;37687
Araba/Álava;PIB per cápita. Precios corrientes (euros);2019;38577
Araba/Álava;PIB per cápita. Índice (CAE=100);1996;121
Araba/Álava;PIB per cápita. Índice (CAE=100);2000;123
Araba/Álava;PIB per cápita. Índice (CAE=100);2005;119
Araba/Álava;PIB per cápita. Índice (CAE=100);2008;115
Araba/Álava;PIB per cápita. Índice (CAE=100);2010;108
Araba/Álava;PIB per cápita. Índice (CAE=100);2012;110
Araba/Álava;PIB per cápita. Índice (CAE=100);2014;110
Araba/Álava;PIB per cápita. Índice (CAE=100);2015;110
Araba/Álava;PIB per cápita. Índice (CAE=100);2016;109
Araba/Álava;PIB per cápita. Índice (CAE=100);2017;108
Araba/Álava;PIB per cápita. Índice (CAE=100);2018;107
Araba/Álava;PIB per cápita. Índice (CAE=100);2019;106
Araba/Álava;PIB. Precios corrientes (miles de euros);1996;5036363
Araba/Álava;PIB. Precios corrientes (miles de euros);2000;7046026
Araba/Álava;PIB. Precios corrientes (miles de euros);2005;9769199
Araba/Álava;PIB. Precios corrientes (miles de euros);2008;11421838
Araba/Álava;PIB. Precios corrientes (miles de euros);2010;10518720
Araba/Álava;PIB. Precios corrientes (miles de euros);2012;10693557
Araba/Álava;PIB. Precios corrientes (miles de euros);2014;10817115
Araba/Álava;PIB. Precios corrientes (miles de euros);2015;11192856
Araba/Álava;PIB. Precios corrientes (miles de euros);2016;11578145
