"Renta personal media de la C.A. de Euskadi (euros) por ámbitos territoriales, tipo de renta, sexo y periodo"

"ámbitos territoriales";"tipo de renta";"sexo";"periodo";Renta personal media de la C.A. de Euskadi (euros)
"C.A. de Euskadi";"Renta total";"Total";"2001";12676
"C.A. de Euskadi";"Renta total";"Total";"2003";13647
"C.A. de Euskadi";"Renta total";"Total";"2006";17362
"C.A. de Euskadi";"Renta total";"Total";"2009";19631
"C.A. de Euskadi";"Renta total";"Total";"2011";19715
"C.A. de Euskadi";"Renta total";"Total";"2013";19319
"C.A. de Euskadi";"Renta total";"Total";"2014";19379
"C.A. de Euskadi";"Renta total";"Total";"2015";19968
"C.A. de Euskadi";"Renta total";"Total";"2016";20295
"C.A. de Euskadi";"Renta total";"Total";"2017";21083
"C.A. de Euskadi";"Renta total";"Total";"2018";21458
"C.A. de Euskadi";"Renta total";"Total";"2019";22601
"C.A. de Euskadi";"Renta total";"Hombres";"2001";17820
"C.A. de Euskadi";"Renta total";"Hombres";"2003";18846
"C.A. de Euskadi";"Renta total";"Hombres";"2006";23224
"C.A. de Euskadi";"Renta total";"Hombres";"2009";25376
"C.A. de Euskadi";"Renta total";"Hombres";"2011";25258
"C.A. de Euskadi";"Renta total";"Hombres";"2013";24457
"C.A. de Euskadi";"Renta total";"Hombres";"2014";24417
"C.A. de Euskadi";"Renta total";"Hombres";"2015";25152
"C.A. de Euskadi";"Renta total";"Hombres";"2016";25494
"C.A. de Euskadi";"Renta total";"Hombres";"2017";26519
"C.A. de Euskadi";"Renta total";"Hombres";"2018";26930
"C.A. de Euskadi";"Renta total";"Hombres";"2019";27885
"C.A. de Euskadi";"Renta total";"Mujeres";"2001";7840
"C.A. de Euskadi";"Renta total";"Mujeres";"2003";8744
"C.A. de Euskadi";"Renta total";"Mujeres";"2006";11857
"C.A. de Euskadi";"Renta total";"Mujeres";"2009";14242
"C.A. de Euskadi";"Renta total";"Mujeres";"2011";14534
"C.A. de Euskadi";"Renta total";"Mujeres";"2013";14549
"C.A. de Euskadi";"Renta total";"Mujeres";"2014";14711
"C.A. de Euskadi";"Renta total";"Mujeres";"2015";15175
"C.A. de Euskadi";"Renta total";"Mujeres";"2016";15479
"C.A. de Euskadi";"Renta total";"Mujeres";"2017";16074
"C.A. de Euskadi";"Renta total";"Mujeres";"2018";16416
"C.A. de Euskadi";"Renta total";"Mujeres";"2019";17731
"C.A. de Euskadi";"Renta del trabajo";"Total";"2001";8466
"C.A. de Euskadi";"Renta del trabajo";"Total";"2003";9065
"C.A. de Euskadi";"Renta del trabajo";"Total";"2006";11002
"C.A. de Euskadi";"Renta del trabajo";"Total";"2009";12290
"C.A. de Euskadi";"Renta del trabajo";"Total";"2011";12358
"C.A. de Euskadi";"Renta del trabajo";"Total";"2013";11836
"C.A. de Euskadi";"Renta del trabajo";"Total";"2014";11821
"C.A. de Euskadi";"Renta del trabajo";"Total";"2015";11950
"C.A. de Euskadi";"Renta del trabajo";"Total";"2016";12182
"C.A. de Euskadi";"Renta del trabajo";"Total";"2017";12681
"C.A. de Euskadi";"Renta del trabajo";"Total";"2018";12966
"C.A. de Euskadi";"Renta del trabajo";"Total";"2019";13563
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2001";12243
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2003";12864
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2006";15202
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2009";16092
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2011";15994
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2013";15021
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2014";14935
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2015";15151
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2016";15394
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2017";16025
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2018";16349
"C.A. de Euskadi";"Renta del trabajo";"Hombres";"2019";16876
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2001";4917
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2003";5482
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2006";7058
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2009";8722
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2011";8959
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2013";8880
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2014";8936
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2015";8990
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2016";9207
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2017";9601
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2018";9848
"C.A. de Euskadi";"Renta del trabajo";"Mujeres";"2019";10510
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2001";742
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2003";830
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2006";1702
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2009";1679
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2011";1443
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2013";1347
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2014";1259
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2015";1246
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2016";1236
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2017";1290
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2018";1253
"C.A. de Euskadi";"Renta capital mobiliario";"Total";"2019";1448
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2001";824
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2003";912
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2006";1865
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2009";1897
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2011";1689
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2013";1577
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2014";1452
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2015";1465
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2016";1508
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2017";1638
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2018";1579
"C.A. de Euskadi";"Renta capital mobiliario";"Hombres";"2019";1736
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2001";666
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2003";752
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2006";1550
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2009";1474
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2011";1214
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2013";1134
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2014";1080
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2015";1044
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2016";985
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2017";970
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2018";952
"C.A. de Euskadi";"Renta capital mobiliario";"Mujeres";"2019";1184
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2001";186
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2003";199
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2006";258
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2009";320
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2011";362
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2013";349
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2014";376
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2015";400
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2016";425
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2017";454
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2018";464
"C.A. de Euskadi";"Renta capital inmobiliario";"Total";"2019";501
"C.A. de Euskadi";"Renta capital inmobiliario";"Hombres";"2001";167
