ámbitos territoriales;actividad (A10);periodo;Establecimientos en la C.A. de Euskadi
C.A. de Euskadi;Total de actividad;2008;203911
C.A. de Euskadi;Total de actividad;2009;202093
C.A. de Euskadi;Total de actividad;2010;191057
C.A. de Euskadi;Total de actividad;2011;185454
C.A. de Euskadi;Total de actividad;2012;184471
C.A. de Euskadi;Total de actividad;2013;179285
C.A. de Euskadi;Total de actividad;2014;176879
C.A. de Euskadi;Total de actividad;2015;176384
C.A. de Euskadi;Total de actividad;2016;175674
C.A. de Euskadi;Total de actividad;2017;175393
C.A. de Euskadi;Total de actividad;2018;173849
C.A. de Euskadi;Total de actividad;2019;174771
C.A. de Euskadi;Total de actividad;2020;171371
C.A. de Euskadi;Total de actividad;2021;169897
C.A. de Euskadi;No determinada;2008;1137
C.A. de Euskadi;No determinada;2009;0
C.A. de Euskadi;No determinada;2010;0
C.A. de Euskadi;No determinada;2011;0
C.A. de Euskadi;No determinada;2012;0
C.A. de Euskadi;No determinada;2013;0
C.A. de Euskadi;No determinada;2014;0
C.A. de Euskadi;No determinada;2015;0
C.A. de Euskadi;No determinada;2016;0
C.A. de Euskadi;No determinada;2017;0
C.A. de Euskadi;No determinada;2018;0
C.A. de Euskadi;No determinada;2019;0
C.A. de Euskadi;No determinada;2020;0
C.A. de Euskadi;No determinada;2021;0
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2008;0
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2009;0
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2010;0
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2011;0
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2012;6240
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2013;7168
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2014;6494
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2015;6004
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2016;5907
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2017;6008
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2018;5962
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2019;6485
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2020;6224
C.A. de Euskadi;01. Agricultura, ganadería y pesca;2021;5584
C.A. de Euskadi;02. Industria, energía y saneamiento;2008;14988
C.A. de Euskadi;02. Industria, energía y saneamiento;2009;14884
C.A. de Euskadi;02. Industria, energía y saneamiento;2010;14404
C.A. de Euskadi;02. Industria, energía y saneamiento;2011;14114
C.A. de Euskadi;02. Industria, energía y saneamiento;2012;13413
C.A. de Euskadi;02. Industria, energía y saneamiento;2013;12815
C.A. de Euskadi;02. Industria, energía y saneamiento;2014;12467
C.A. de Euskadi;02. Industria, energía y saneamiento;2015;12176
C.A. de Euskadi;02. Industria, energía y saneamiento;2016;11958
C.A. de Euskadi;02. Industria, energía y saneamiento;2017;11648
C.A. de Euskadi;02. Industria, energía y saneamiento;2018;11526
C.A. de Euskadi;02. Industria, energía y saneamiento;2019;11437
C.A. de Euskadi;02. Industria, energía y saneamiento;2020;11222
C.A. de Euskadi;02. Industria, energía y saneamiento;2021;11026
C.A. de Euskadi;03. Construcción;2008;34648
C.A. de Euskadi;03. Construcción;2009;33679
C.A. de Euskadi;03. Construcción;2010;29656
C.A. de Euskadi;03. Construcción;2011;27248
C.A. de Euskadi;03. Construcción;2012;24844
