territorio histórico;CNAE009;unidad;periodo;Comercio exterior de la C.A. de Euskadi;CNA-09
Araba / Álava;Total;Miles de euros;1990;790750;Tot
Araba / Álava;Total;Miles de euros;1991;867552;Tot
Araba / Álava;Total;Miles de euros;1992;873508;Tot
Araba / Álava;Total;Miles de euros;1993;1005138;Tot
Araba / Álava;Total;Miles de euros;1994;1432243;Tot
Araba / Álava;Total;Miles de euros;1995;1592610;Tot
Araba / Álava;Total;Miles de euros;1996;1761923;Tot
Araba / Álava;Total;Miles de euros;1997;2801258;Tot
Araba / Álava;Total;Miles de euros;1998;3229478;Tot
Araba / Álava;Total;Miles de euros;1999;3239561;Tot
Araba / Álava;Total;Miles de euros;2000;3656585;Tot
Araba / Álava;Total;Miles de euros;2001;3412952;Tot
Araba / Álava;Total;Miles de euros;2002;3135785;Tot
Araba / Álava;Total;Miles de euros;2003;3126400;Tot
Araba / Álava;Total;Miles de euros;2004;3907010;Tot
Araba / Álava;Total;Miles de euros;2005;3960473;Tot
Araba / Álava;Total;Miles de euros;2006;4644956;Tot
Araba / Álava;Total;Miles de euros;2007;4959695;Tot
Araba / Álava;Total;Miles de euros;2008;5461845;Tot
Araba / Álava;Total;Miles de euros;2009;3590710;Tot
Araba / Álava;Total;Miles de euros;2010;4427242;Tot
Araba / Álava;Total;Miles de euros;2011;5345535;Tot
Araba / Álava;Total;Miles de euros;2012;5410611;Tot
Araba / Álava;Total;Miles de euros;2013;5302049;Tot
Araba / Álava;Total;Miles de euros;2014;5659368;Tot
Araba / Álava;Total;Miles de euros;2015;5825345;Tot
Araba / Álava;Total;Miles de euros;2016;6712980;Tot
Araba / Álava;Total;Miles de euros;2017;7193459;Tot
Araba / Álava;Total;Miles de euros;2018;7373273;Tot
Araba / Álava;011 Cultivos no perennes;Miles de euros;1990;189;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1991;257;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1992;865;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1993;879;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1994;1245;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1995;586;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1996;942;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1997;1346;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1998;1671;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;1999;1339;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2000;1769;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2001;1438;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2002;3041;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2003;398;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2004;257;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2005;380;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2006;152;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2007;426;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2008;3329;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2009;74;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2010;1476;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2011;999;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2012;6057;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2013;418;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2014;883;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2015;1541;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2016;2381;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2017;616;011
Araba / Álava;011 Cultivos no perennes;Miles de euros;2018;1336;011
Araba / Álava;012 Cultivos perennes;Miles de euros;1990;87;012
Araba / Álava;012 Cultivos perennes;Miles de euros;1991;444;012
Araba / Álava;012 Cultivos perennes;Miles de euros;1992;260;012
