Gasto en actividades para innovación y coeficientes de variación en los establecimientos de 10 y más empleados de la C.A. de Euskadi, por Territorio Histórico, capitales y comarcas. (Millones de euros). 2006-2017;;;;;;;;;;;;
ámbitos territoriales;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Bidasoa Beherea  /  Bajo Bidasoa;43,72036085;45,26565525;48,84598178;48,98744765;39,86259782;49,87892448;43,47390751;39,41644133;34,39572946;37,57894034;41,89098806;48,6681343
Durangaldea  /  Duranguesado;78,13560599;90,12698131;108,7666484;114,3908649;107,8851203;95,24833642;107,0433508;118,3365053;111,1582725;133,200864;144,5806374;158,6660124
C.A. de Euskadi;1829,657514;2030,043189;2193,876084;2219,891628;2159,501597;2214,016048;2179,542645;2197,738155;2067,689372;2080,090306;2123,936188;2245,803779
Vitoria - Gasteiz;337,0304582;357,6970091;371,0744529;338,4433919;338,0284565;353,1236207;351,8709104;388,3836784;345,8254762;324,7460557;306,2423141;317,4502607
Bilbao;230,0630039;244,3135771;266,457904;278,1455364;267,3891407;279,0700411;269,0747938;288,3495582;272,9071787;280,7761936;267,91851;279,2647505
Donostia - San Sebastian;154,8712723;162,365265;190,4521232;207,1591215;180,9103954;213,0298236;192,9779156;203,0849511;190,1969784;192,2986363;187,48277;211,10512
Araba/Álava;420,2372934;456,0673074;471,9269747;444,1183424;416,2274734;432,3572134;451,2521081;470,2207165;417,6349648;384,6652398;359,7901926;374,2798901
Arabako Lautada  /  Llanada Alavesa;355,6847306;389,3665531;399,5635066;366,3899388;353,7278631;377,2632937;377,0808168;409,3999565;365,7944819;332,4792436;314,2089022;326,6484343
Errioxa Arabarra  /  Rioja Alavesa;9,19105031;9,815491871;13,07284927;10,6722913;8,509727602;10,60657901;12,55339069;10,16126443;8,936648923;8,720263104;10,28091722;10,41522054
Kantauri Arabarra  /  Cantábrica Alavesa;25,52958411;29,24013375;37,17144078;47,81832869;39,04566386;27,79145;39,80759779;36,68862431;29,83639343;26,26934961;22,17081252;24,73476297
Arabako Besteak / Resto de Álava;29,83192838;27,64512868;22,11917802;19,2377836;14,94421886;16,69589062;21,81030277;13,97087124;13,06744057;17,19638355;13,12956064;12,48147229
Bizkaia;791,1041056;899,0639307;962,8978811;1013,1824;1025,166048;1053,315073;1007,957928;1032,976939;1010,205369;1033,79998;1073,58166;1137,851612
Arratia Nerbioi  /  Arratia-Nervión;19,74703499;18,72348417;25,4689658;24,14765443;18,6248305;23,39299017;24,11773651;17,52368029;18,4531094;17,28462437;15,91948644;16,9862832
Bilbo Handia  /  Gran Bilbao;642,56397;728,9192756;770,4417153;805,1581666;820,2232134;846,1917421;787,5070176;813,6614547;806,5549366;816,5852566;832,367147;888,4609891
Enkartazioak  /  Encartaciones;6,887585076;6,139687394;6,638809564;7,668511201;9,208961281;11,6480524;10,21294695;8,738669857;8,16628843;7,533151086;8,727551709;8,415692685
Gernika-Bermeo;14,36333864;17,3045164;17,66741957;20,6423181;20,36507511;23,20477509;22,84303288;22,01147893;19,84561176;18,42660874;26,59127098;22,32179402
Markina-Ondarroa;11,56431221;16,78814096;14,15376561;17,31388323;17,17762559;17,74044469;24,39091086;25,5271807;16,39067325;17,88626492;17,77007615;17,5535845
Plentzia-Mungia;17,84225869;21,06184489;19,76055691;23,86100196;31,68122181;35,88873263;31,84293279;27,17796894;29,6364775;22,88321064;27,62549076;25,44725627
Gipuzkoa;618,3161153;674,9119511;759,0512282;762,5908851;718,1080757;728,3437607;720,3326083;694,5404994;639,8490376;661,6250858;690,5643348;733,672277
Deba Beherea  /  Bajo Deba;47,93299608;55,91799349;57,00961242;56,82575419;58,68525964;66,24381527;65,35690595;63,82859788;61,44786241;57,79194919;65,14892963;66,56733859
Debagoiena  /  Alto Deba;91,70145061;93,10436244;116,501949;112,391653;111,8574535;114,5555785;118,2115899;98,69745987;81,60297773;81,09337967;76,71278093;106,2382305
Donostialdea;266,5005231;289,3392906;337,2071836;348,7033628;307,4863744;309,0412479;299,7258649;301,4242833;287,0470275;304,2265889;303,5415945;317,409624
Goierri;91,06253557;109,6820124;100,4630476;101,427512;122,5909682;106,6881725;107,7554423;120,31876;109,8064553;104,2718285;128,4579169;112,6092155
Tolosaldea  /  Tolosa;26,81004552;28,39032817;35,34633282;35,98341435;28,52077171;30,35635305;33,04845713;29,49507786;27,02287276;30,99023366;29,55065849;31,40234351
Urola-Kostaldea  /  Urola Costa;50,58820366;53,21230866;63,67712102;58,27174116;49,10465038;51,57966896;52,76044053;41,35987918;38,52611248;45,67216557;45,26146634;50,77739061
