"Población de la C.A. de Euskadi por ámbitos territoriales, grupos de países por nacionalidad y periodo"

"ámbitos territoriales";"grupos de países por nacionalidad";"periodo";Población de la C.A. de Euskadi
"C.A. de Euskadi";"Total";"2001";2079210
"C.A. de Euskadi";"Total";"2002";2085058
"C.A. de Euskadi";"Total";"2003";2089950
"C.A. de Euskadi";"Total";"2004";2095014
"C.A. de Euskadi";"Total";"2005";2104396
"C.A. de Euskadi";"Total";"2006";2115383
"C.A. de Euskadi";"Total";"2007";2130996
"C.A. de Euskadi";"Total";"2008";2147754
"C.A. de Euskadi";"Total";"2009";2162953
"C.A. de Euskadi";"Total";"2010";2169038
"C.A. de Euskadi";"Total";"2011";2174033
"C.A. de Euskadi";"Total";"2012";2181590
"C.A. de Euskadi";"Total";"2013";2178949
"C.A. de Euskadi";"Total";"2014";2172877
"C.A. de Euskadi";"Total";"2015";2173210
"C.A. de Euskadi";"Total";"2016";2171886
"C.A. de Euskadi";"Total";"2017";2175819
"C.A. de Euskadi";"Total";"2018";2180449
"C.A. de Euskadi";"Total";"2019";2188017
"C.A. de Euskadi";"Total";"2020";2199711
"C.A. de Euskadi";"Total";"2021";2193199
"C.A. de Euskadi";"España";"2001";2053769
"C.A. de Euskadi";"España";"2002";2051599
"C.A. de Euskadi";"España";"2003";2051401
"C.A. de Euskadi";"España";"2004";2045443
"C.A. de Euskadi";"España";"2005";2042569
"C.A. de Euskadi";"España";"2006";2039054
"C.A. de Euskadi";"España";"2007";2038172
"C.A. de Euskadi";"España";"2008";2033396
"C.A. de Euskadi";"España";"2009";2030575
"C.A. de Euskadi";"España";"2010";2027221
"C.A. de Euskadi";"España";"2011";2023015
"C.A. de Euskadi";"España";"2012";2021513
"C.A. de Euskadi";"España";"2013";2017925
"C.A. de Euskadi";"España";"2014";2016161
"C.A. de Euskadi";"España";"2015";2027490
"C.A. de Euskadi";"España";"2016";2022538
"C.A. de Euskadi";"España";"2017";2020219
"C.A. de Euskadi";"España";"2018";2028262
"C.A. de Euskadi";"España";"2019";2021322
"C.A. de Euskadi";"España";"2020";2014795
"C.A. de Euskadi";"España";"2021";2010350
"C.A. de Euskadi";"Europa del Este";"2001";1305
"C.A. de Euskadi";"Europa del Este";"2002";2018
"C.A. de Euskadi";"Europa del Este";"2003";3111
"C.A. de Euskadi";"Europa del Este";"2004";4844
"C.A. de Euskadi";"Europa del Este";"2005";6994
"C.A. de Euskadi";"Europa del Este";"2006";9661
"C.A. de Euskadi";"Europa del Este";"2007";12855
"C.A. de Euskadi";"Europa del Este";"2008";18151
"C.A. de Euskadi";"Europa del Este";"2009";20672
"C.A. de Euskadi";"Europa del Este";"2010";21485
"C.A. de Euskadi";"Europa del Este";"2011";22717
"C.A. de Euskadi";"Europa del Este";"2012";24403
"C.A. de Euskadi";"Europa del Este";"2013";24249
"C.A. de Euskadi";"Europa del Este";"2014";23970
"C.A. de Euskadi";"Europa del Este";"2015";24333
"C.A. de Euskadi";"Europa del Este";"2016";24936
"C.A. de Euskadi";"Europa del Este";"2017";25614
"C.A. de Euskadi";"Europa del Este";"2018";26248
"C.A. de Euskadi";"Europa del Este";"2019";27261
"C.A. de Euskadi";"Europa del Este";"2020";27951
"C.A. de Euskadi";"Europa del Este";"2021";27308
"C.A. de Euskadi";"Resto de Europa";"2001";9853
"C.A. de Euskadi";"Resto de Europa";"2002";10422
"C.A. de Euskadi";"Resto de Europa";"2003";10231
"C.A. de Euskadi";"Resto de Europa";"2004";11182
"C.A. de Euskadi";"Resto de Europa";"2005";12264
"C.A. de Euskadi";"Resto de Europa";"2006";13478
"C.A. de Euskadi";"Resto de Europa";"2007";15173
"C.A. de Euskadi";"Resto de Europa";"2008";17078
"C.A. de Euskadi";"Resto de Europa";"2009";18162
"C.A. de Euskadi";"Resto de Europa";"2010";18237
"C.A. de Euskadi";"Resto de Europa";"2011";17545
"C.A. de Euskadi";"Resto de Europa";"2012";17478
"C.A. de Euskadi";"Resto de Europa";"2013";17164
"C.A. de Euskadi";"Resto de Europa";"2014";16523
"C.A. de Euskadi";"Resto de Europa";"2015";15743
"C.A. de Euskadi";"Resto de Europa";"2016";15244
"C.A. de Euskadi";"Resto de Europa";"2017";15173
"C.A. de Euskadi";"Resto de Europa";"2018";14765
"C.A. de Euskadi";"Resto de Europa";"2019";15251
"C.A. de Euskadi";"Resto de Europa";"2020";15946
"C.A. de Euskadi";"Resto de Europa";"2021";16345
"C.A. de Euskadi";"Paises del Magreb";"2001";3173
"C.A. de Euskadi";"Paises del Magreb";"2002";4345
"C.A. de Euskadi";"Paises del Magreb";"2003";4945
"C.A. de Euskadi";"Paises del Magreb";"2004";6588
"C.A. de Euskadi";"Paises del Magreb";"2005";7922
"C.A. de Euskadi";"Paises del Magreb";"2006";9611
"C.A. de Euskadi";"Paises del Magreb";"2007";11483
"C.A. de Euskadi";"Paises del Magreb";"2008";14024
"C.A. de Euskadi";"Paises del Magreb";"2009";17668
"C.A. de Euskadi";"Paises del Magreb";"2010";20285
"C.A. de Euskadi";"Paises del Magreb";"2011";22629
"C.A. de Euskadi";"Paises del Magreb";"2012";25409
"C.A. de Euskadi";"Paises del Magreb";"2013";25881
"C.A. de Euskadi";"Paises del Magreb";"2014";26439
"C.A. de Euskadi";"Paises del Magreb";"2015";26070
"C.A. de Euskadi";"Paises del Magreb";"2016";27446
"C.A. de Euskadi";"Paises del Magreb";"2017";28453
"C.A. de Euskadi";"Paises del Magreb";"2018";28671
"C.A. de Euskadi";"Paises del Magreb";"2019";31013
"C.A. de Euskadi";"Paises del Magreb";"2020";33860
"C.A. de Euskadi";"Paises del Magreb";"2021";33571
"C.A. de Euskadi";"Resto de Africa";"2001";1732
"C.A. de Euskadi";"Resto de Africa";"2002";2141
"C.A. de Euskadi";"Resto de Africa";"2003";2266
"C.A. de Euskadi";"Resto de Africa";"2004";3042
"C.A. de Euskadi";"Resto de Africa";"2005";3690
"C.A. de Euskadi";"Resto de Africa";"2006";4336
"C.A. de Euskadi";"Resto de Africa";"2007";5100
"C.A. de Euskadi";"Resto de Africa";"2008";6389
"C.A. de Euskadi";"Resto de Africa";"2009";7964
