ámbitos territoriales;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
C.A. de Euskadi;942479;952510;906044;890093;873121;855093;849335;843816;854114;874241;889853;911267;921525;909442
Araba/Álava;150985;152568;146912;144926;142274;138285;139034;138677;140844;145555;148666;152832;153845;151448
Bizkaia;478326;486100;460094;452737;442388;432868;427482;423439;428032;438233;444860;456366;462084;455715
Gipuzkoa;313168;313842;299038;292430;288459;283940;282819;281700;285238;290453;296327;302069;305596;302279
No determinado de Araba/Álava;2121;2099;2230;2444;1379;1222;979;1136;1131;1364;1496;1185;1213;1467
No determinado de Bizkaia;2078;1758;2030;2281;1662;1701;926;1672;1457;1526;1664;1583;1808;2086
No determinado de Gipuzkoa;2023;2047;1836;2343;2045;1994;2146;1787;1784;1934;2235;1783;1843;2176
Añana (comarca);2970;3069;2842;3292;3563;3394;3470;3660;3622;3711;3721;3664;3634;3728
Arabako Lautada / Llanada Alavesa;117885;119143;115217;112841;109867;106520;108173;108054;109781;113593;116096;120881;121323;119145
Arabako Mendialdea / Montaña Alavesa;1263;1333;1331;1294;1406;1405;1423;1534;1414;1465;1440;1400;1437;1473
Arratia Nerbioi / Arratia-Nervión;9398;9258;8737;8418;8352;8188;7927;7900;7592;7864;7909;8055;8197;7967
Bidasoa Beherea / Bajo Bidasoa;29353;28582;26726;25730;25524;25255;24944;24947;25187;25727;26782;27095;27186;26384
Bilbo Handia / Gran Bilbao;375607;383638;363167;355663;344334;335849;332112;329131;331257;339573;344157;353636;357388;352887
Debabarrena / Bajo Deba;21849;21643;20425;20062;20194;19799;19872;19753;19944;20294;20412;21463;21432;21018
Debagoiena / Alto Deba;33184;32552;31414;31078;30011;30589;31216;29756;29585;30100;30910;30806;31120;30581
Donostialdea;152163;153846;147757;144041;140607;137824;136790;137229;139843;143257;145735;149007;151397;149832
Durangaldea / Duranguesado;45603;45858;42229;42279;42661;42491;42323;41510;43056;44280;45251;46413;47408;46083
Enkartazioak / Encartaciones;8405;8265;8037;8441;8352;8184;7847;7849;7732;7868;8012;8049;8222;8067
Arabako Errioxa / Rioja Alavesa;6329;6264;5973;5908;6681;6859;6694;6773;7168;7569;7893;7945;8203;8051
Gernika-Bermeo;13709;13641;12708;12539;13366;13068;12758;12799;13015;13391;13501;13771;13741;13545
Goierri;28344;28660;26330;25919;26008;25534;25458;25857;25799;25528;26006;26837;27281;26872
Gorbeialdea / Estribaciones del Gorbea;5997;5952;5477;5317;5236;5012;4827;4582;4602;4758;4847;4892;5012;4881
Arabako Kantaurialdea / Cantábrica Alavesa;14420;14708;13842;13830;14142;13873;13468;12938;13126;13095;13173;12865;13023;12703
